name,lambert_x,lambert_y
Schafkar,486199.73262142984,417328.1788787134
Kesselkar,484951.0826250526,417309.83116908744
Kesselkargrat,484951.0826250526,417309.83116908744
Kochalm,484951.0826250526,417309.83116908744
Lieblscharte,483701.6792302536,417291.74040349294
Mühlauer Stadel,483701.6792302536,417291.74040349294
Haller Mauern,483701.6792302536,417291.74040349294
Mühlauer Sattel,482452.27198314574,417273.91767618526
Frauenscharte,482452.27198314574,417273.91767618526
Mitterberg,482452.27198314574,417273.91767618526
Scheiblingstein,481443.8567795664,417927.4062467078
Lange Gasse,481203.6104390837,417256.37343834527
Holzerkar,479954.1956620915,417239.0866292706
Hofersteig,479954.1956620915,417239.0866292706
Hiaslalm,477531.0639569566,416248.21563224494
Hofalmhütte,478135.0414574579,416552.2875649864
Lugkogel,477301.3338546665,417287.8424880458
Klammbach,476440.92824645725,417446.74159672204
Doktor Vogelgesang-Klamm,476424.1429388663,417240.65632300265
Stiftsreith,476254.42298432055,416404.9571853047
Moltersberg,475973.5585702907,417762.219914129
Fürst,493724.3831796578,415589.32546812296
Rabischbacheralm,493724.3831796578,415589.32546812296
Labriedel,493724.3831796578,415589.32546812296
Kleiner Billbach,493724.3831796578,415589.32546812296
Großer Billbach,492475.36019320926,415569.36448331084
Haselbach,492475.36019320926,415569.36448331084
Großegg,492475.36019320926,415569.36448331084
Kleinbuchau,491225.5832382599,415549.6595542552
Radmerer,491225.5832382599,415549.6595542552
Schoberer,491225.5832382599,415549.6595542552
Toiner,491225.5832382599,415549.6595542552
Haberlalm,491225.5832382599,415549.6595542552
Auf der Lahn,489975.80208471883,415530.22274366673
Sulzboden,489975.80208471883,415530.22274366673
Kaltenbrunneralm,489975.80208471883,415530.22274366673
Ochsenscharte,488726.76651256933,415511.0654709814
Himmelreich,488726.76651256933,415511.0654709814
Katzengrabenhütte,488726.76651256933,415511.0654709814
Zilmkogel,488726.76651256933,415511.0654709814
Großer Seeboden,487476.9771368391,415492.16473915614
Mittagskogel,487476.9771368391,415492.16473915614
Admonter Warte,487476.9771368391,415492.16473915614
Grabnertörl,487476.9771368391,415492.16473915614
Spindelfeldgrat,484978.13609436044,415455.1785758175
Hallerplangraben,486227.1837350444,415473.532128443
Griesweber-Hochalm,484978.13609436044,415455.1785758175
Großer Warschenberg,484978.13609436044,415455.1785758175
Griesweber-Niederalm,483728.334815328,415437.0820490485
Mühlauer Wasserfall,483728.334815328,415437.0820490485
Volkernotgraben,482478.5296827598,415419.2536459258
Eßlinggraben,482478.5296827598,415419.2536459258
Sattleralm,482478.5296827598,415419.2536459258
Blechauergraben,481229.4704907136,415401.70382095873
Pyhrgashütte,479979.65782586316,415384.4115067376
Gstattmaier,481229.4704907136,415401.70382095873
Schindeltal,481229.4704907136,415401.70382095873
Gsig,479979.65782586316,415384.4115067376
Pyhrgasgatterl,478995.8092097641,415495.62010247447
Rohrauerhaus,478825.48578403983,416057.49705117196
Brandneralm,478651.08276503277,416202.02774101496
Bacheralm,478729.84148000693,415367.38731858786
Bachermauern,478729.84148000693,415367.38731858786
Bosruckhütte,477427.69284724165,416015.381237641
Ochsenwaldalm,476991.833384879,415919.46854947787
Eisenerzer Hütterl,477480.7712537744,415350.6412285464
Ochsenwaldkapelle,477015.7672916296,415526.97203561757
Arlingalmen,477480.7712537744,415350.6412285464
Arlingsattel,477230.64170103596,414873.2736899089
Frauenmauer,476230.94772059424,415334.153134034
Mausmayralm,476230.94772059424,415334.153134034
Wildfrauenhöhle,476230.94772059424,415334.153134034
Bosrucktunnel,475222.20092497667,414882.60578088276
Großer Billbachgraben,492504.7827842736,413715.86197802704
Hartlschütt,492504.7827842736,413715.86197802704
Brunnriegel,491254.60819176765,413696.15077951737
Brunngraben,491254.60819176765,413696.15077951737
Weißriegelgraben,490004.42939933424,413676.7077847803
Katzengraben,488754.9964255116,413657.54441688675
Seewald,490004.42939933424,413676.7077847803
Tonner,488754.9964255116,413657.54441688675
Ehersbergeralm,488754.9964255116,413657.54441688675
Steinhäuser,488754.9964255116,413657.54441688675
Haranger,487504.80940827297,413638.6376714753
Grabneralmhaus,487504.80940827297,413638.6376714753
Forchneralm,487504.80940827297,413638.6376714753
Johannesbründl,486254.6183636889,413619.9991324842
Geierriegel,487504.80940827297,413638.6376714753
Rabengraben,486254.6183636889,413619.9991324842
Arbessattel,485005.173317492,413601.6397403665
Schwarzenbach,485005.173317492,413601.6397403665
Jagdschloß Hall,483754.9743931639,413583.5374558838
Hörndler,483754.9743931639,413583.5374558838
Pfarrerbauer,483754.9743931639,413583.5374558838
Alpenheim,483754.9743931639,413583.5374558838
Schlagalm,482504.771614074,413565.7033803547
Klammhapp,482504.771614074,413565.7033803547
Ochsenriegel,481255.31501283956,413548.1479716161
Löckerkar,480005.1046990709,413530.8501555538
Schneideralm,478754.8907031252,413513.82055087294
Warteck,477505.4230641938,413497.06913278066
Ardningalm,477505.4230641938,413497.06913278066
Angeralm,477505.4230641938,413497.06913278066
Bungalowsiedlung,477505.4230641938,413497.06913278066
Igelsfeldalm,476255.2018786375,413480.57579230424
Aubodenhütte,476255.2018786375,413480.57579230424
Sautal,475004.97718349064,413464.3506655209
Roßfeldboden,476255.2018786375,413480.57579230424
Kitzstein,475004.97718349064,413464.3506655209
Kohlwegriegel,492534.2230195716,411861.2479584217
Lauferwald,491283.6505510526,411841.53048669733
Ledereralm,492534.2230195716,411861.2479584217
Reiterbachmauer,490033.07388126943,411822.08130410407
Schwaighof,603415.0165636819,397737.9383535003
Hoist,488783.2432674586,411802.9118373459
Schustersattel,490033.07388126943,411822.08130410407
Stockerkogel,488783.2432674586,411802.9118373459
Ennstalerhof,488783.2432674586,411802.9118373459
Brandner,488783.2432674586,411802.9118373459
Kletzenberg,487532.6583702526,411783.99907474313
Grabnerhof,487532.6583702526,411783.99907474313
Schröckendorf,487532.6583702526,411783.99907474313
Steinfeldsiedlung,487532.6583702526,411783.99907474313
Mühlbauer,487532.6583702526,411783.99907474313
Geiergraben,487532.6583702526,411783.99907474313
Pitzalm,486282.06944441935,411765.35460391827
Schauersberger,486282.06944441935,411765.35460391827
Hallbach,487560.50731908943,409929.36135326885
Sonnberg,485032.22675439215,411746.9893688075
Großer Sulgraben,485032.22675439215,411746.9893688075
Sattler,483781.62994630716,411728.8813231569
Klammgraben,482531.0292822336,411711.0415718211
Zirnitzbach,482531.0292822336,411711.0415718211
Zirnitzsattel,481281.1750334914,411693.48057596106
Grießgraben,481281.1750334914,411693.48057596106
Hundsargraben,481281.1750334914,411693.48057596106
Plesch,480030.5668323411,411676.1772547597
Hundskar,481281.1750334914,411693.48057596106
Zirnitzwald,481281.1750334914,411693.48057596106
Edholzer,480030.5668323411,411676.1772547597
Wasserfallgraben,480030.5668323411,411676.1772547597
Donnerwetterhütte,478779.95494784194,411659.14223029837
Brunntal,480030.5668323411,411676.1772547597
Hinterstatt,477530.0896578899,411642.38548096083
Bosrucktunnel-Südportal,477554.7562399451,409787.7027044203
Ardningbach,477554.7562399451,409787.7027044203
Lainken,477530.0896578899,411642.38548096083
Brandl,477530.0896578899,411642.38548096083
Metschitzbach,477554.7562399451,409787.7027044203
Moaralm,476279.47058149194,411625.88689137343
Ochsenschlagalm,475028.8479943865,411609.6566008413
Raffenhellergraben,476279.47058149194,411625.88689137343
Bruckgraben,493813.8788968686,410026.6148592569
Schagermauer,492563.66324097593,410006.63481406216
Ritschengraben,492563.66324097593,410006.63481406216
Hausmauer,491312.6928966316,409986.9110691268
Gamsjäger,491312.6928966316,409986.9110691268
Haindl,490061.7183496864,409967.4556986792
Geißenbach,490061.7183496864,409967.4556986792
Gesäuseeingang,488811.490096075,409948.2801330611
Niederhofer,488811.490096075,409948.2801330611
Kader,487560.50731908943,409929.36135326885
Schmiedbach,493813.8788968686,410026.6148592569
Narrenteich,487560.50731908943,409929.36135326885
Scheiblteich,487560.50731908943,409929.36135326885
Wirtshaus Grieshof,485059.280178525,409892.33987251204
Ennsviertel,485059.280178525,409892.33987251204
Knapp,485059.280178525,409892.33987251204
Nagl,483808.28548687097,409874.22606569715
Gasthof Wölger,483808.28548687097,409874.22606569715
Gstadtmaier,483808.28548687097,409874.22606569715
Hoffeld,483808.28548687097,409874.22606569715
Cordon,482557.2869380015,409856.3806385556
Atzmann,481307.0350419391,409838.81405557785
Oberpichlmaier,481307.0350419391,409838.81405557785
Unterpichlmaier,481307.0350419391,409838.81405557785
Frauenberger Torfstich,480056.02895359497,409821.50522923935
Gansmüllerbach,480056.02895359497,409821.50522923935
Kulm,480056.02895359497,409821.50522923935
Forchner,480056.02895359497,409821.50522923935
Gansberg,478805.0191807301,409804.4647850003
Ledersperger,480056.02895359497,409821.50522923935
Ebner,478805.0191807301,409804.4647850003
Ennsboden,480056.02895359497,409821.50522923935
Mödringer,478805.0191807301,409804.4647850003
Mooswiesen,478805.0191807301,409804.4647850003
Ennswiesen,478805.0191807301,409804.4647850003
Mödringerbrücke,478805.0191807301,409804.4647850003
Harsbach,477554.7562399451,409787.7027044203
Oberdorf,477554.7562399451,409787.7027044203
Mitterfeld,477554.7562399451,409787.7027044203
Blahberg,477554.7562399451,409787.7027044203
Haindlgraben,476303.7392728933,409771.1988657247
Pürgschachenmoos,476303.7392728933,409771.1988657247
Turmstein,492593.08579039184,408153.1349324612
Kaderalpl,492593.08579039184,408153.1349324612
Langgrießgraben,492593.08579039184,408153.1349324612
Gofergraben,492593.08579039184,408153.1349324612
Goferhütte,491341.7178090538,408133.4049180802
Haindlmauer,491341.7178090538,408133.4049180802
Vordergoferalm,491341.7178090538,408133.4049180802
Herrenwartkogel,490090.3456237791,408113.9433634933
Humlechneralm,490090.3456237791,408113.9433634933
Schüttgraben,488839.71996905707,408094.7617026754
Waschelgraben,488839.71996905707,408094.7617026754
Schwarzlacken,488839.71996905707,408094.7617026754
Gamskarl,487588.33955112594,408075.83690930624
Bockmoar,487588.33955112594,408075.83690930624
Oberhofsiedlung,485086.31736338465,408038.803660796
Kematen,485086.31736338465,408038.803660796
Kreuzberg,483834.9250269978,408020.6840962749
Wolfsbachergraben,482583.52883216954,408002.83299673535
Ennstal,482557.2869380015,409856.3806385556
Gablergraben,482583.52883216954,408002.83299673535
Treffner,481332.8795274815,407985.2608299935
Treffnergraben,481332.8795274815,407985.2608299935
Egger,481332.8795274815,407985.2608299935
Hackenkasgraben,480081.475790782,407967.9465018222
Bahnhof Frauenberg an der Enns,480081.475790782,407967.9465018222
Schrabach,480056.02895359497,409821.50522923935
Erlgraben,480081.475790782,407967.9465018222
Tuffgraben,478830.06836839055,407950.9006410586
In der Girn,478830.06836839055,407950.9006410586
Bärengraben,476327.9933966041,407917.62414778396
Neureiter,475076.57526479824,407901.38353285566
Beichtbucher,475076.57526479824,407901.38353285566
Mitterriegelgraben,493873.53668001975,406318.51581744105
Schwarzschiefergraben,492622.5259915011,406298.5230666073
Huberkar,492622.5259915011,406298.5230666073
Goferschütt,490118.9900724496,406259.3190365834
Totenköpfl,491370.76013461204,406278.78677901905
Kalbling,488867.96677820117,406240.13127690833
Riffel,488867.96677820117,406240.13127690833
Eisloch,488867.96677820117,406240.13127690833
Schildmauer,487616.18848076474,406221.2004663544
Geißtanzhütte,487616.18848076474,406221.2004663544
Kreuzkogel,487616.18848076474,406221.2004663544
Scheibleggerhochalm,487616.18848076474,406221.2004663544
Drei Mönche,486364.4061508567,406202.5382036017
Steinerner Wirt,486364.4061508567,406202.5382036017
Kematengraben,486364.4061508567,406202.5382036017
Scheibleggerniederalm,486364.4061508567,406202.5382036017
Voitengraben,483861.5805491862,406166.0301173497
Paradies,485113.3707688678,406184.15544303134
Lichtmeßberg,485113.3707688678,406184.15544303134
Steiner,485113.3707688678,406184.15544303134
Neubauer,485113.3707688678,406184.15544303134
Veitlgraben,485113.3707688678,406184.15544303134
Toneckgraben,483861.5805491862,406166.0301173497
Gsieggraben,483861.5805491862,406166.0301173497
Schneeplangraben,481358.73951810226,406130.5955881532
Schwaiger Hube,480106.93789448316,406113.27575484756
Hackenwinkl,480106.93789448316,406113.27575484756
Hubereck,480106.93789448316,406113.27575484756
Spießkar,478855.1325840003,406096.2244743109
Landlhütte,478855.1325840003,406096.2244743109
Mesnerkar,478855.1325840003,406096.2244743109
Mesneralm,477604.07458052016,406079.4517344488
Die Hölle,477604.07458052016,406079.4517344488
Thörlerhütte,476352.2620712754,406062.93740069214
Hühnerkogel,476352.2620712754,406062.93740069214
Gsiegerhütte,476352.2620712754,406062.93740069214
Gföllner,475100.4460479731,406046.6916220207
Sonnenberg,475100.4460479731,406046.6916220207
Rotleiten,493903.37451015296,404463.9107100619
Winterhöllgraben,492651.9661862012,404443.91160450596
Huberalm,492651.9661862012,404443.91160450596
Tonneralm,492651.9661862012,404443.91160450596
Treffneralm,491399.80245384766,404424.1690437123
Schnürchsperre,491399.80245384766,404424.1690437123
Treffnersee,491399.80245384766,404424.1690437123
Hintere Flitzenalm,490147.6345148842,404404.69511342794
Heldenkreuz,491399.80245384766,404424.1690437123
Holzknechthütte,490147.6345148842,404404.69511342794
Kohlerloch,490147.6345148842,404404.69511342794
Vordere Flitzenalm,490147.6345148842,404404.69511342794
Kalblinggatterl,488896.2135811958,404385.50125489756
Seekar,488896.2135811958,404385.50125489756
Oberst Klinke Hütte,488896.2135811958,404385.50125489756
Sieglalm,486391.8571937323,404347.8962325826
Bichler Halt,486391.8571937323,404347.8962325826
Lichtmeßbach,485059.280178525,409892.33987251204
Kaiseraubach,485140.4241684614,404329.50762902666
Hallweg,483888.2360655716,404311.37654218543
Gsiegtörl,483888.2360655716,404311.37654218543
Heiligenbrünnl,482636.04410178674,404293.51409104373
Prenterwinkel,482636.04410178674,404293.51409104373
Kollersbergergraben,482636.04410178674,404293.51409104373
Aberlkogel,481384.5995030932,404275.9307500757
Wölfing,481384.5995030932,404275.9307500757
Hochschwaiger,480132.39999264124,404258.6054116385
Besserer Graben,478880.19679415354,404241.54871132877
Löffelmacherbach,477628.7411402011,404224.7706402289
Boder,477628.7411402011,404224.7706402289
Gruberhütte,477628.7411402011,404224.7706402289
Bahnhof Stadt Rottenmann,477628.7411402011,404224.7706402289
Grünbichl,476376.5307406634,404208.2510573687
Villmannsdorfer Bach,476376.5307406634,404208.2510573687
Goldbichl,475124.3168259512,404192.000114955
Bruckmühl,475124.3168259512,404192.000114955
Anhartskogel,493933.19443720276,402610.4183896985
Brünntörl,493933.19443720276,402610.4183896985
Winterhöll,493933.19443720276,402610.4183896985
Aignerhütte,492681.38871640427,402590.4129332332
Brünnalm,492681.38871640427,402590.4129332332
Rotgraben,492681.38871640427,402590.4129332332
Weidalm,491428.8273473167,402570.66410299763
Goldloch,491428.8273473167,402570.66410299763
Pollergraben,490176.2617702834,402551.1839885777
Wagenbänkgraben,490176.2617702834,402551.1839885777
Küpferlalm,488924.4434357439,402531.9840348521
Küpferllacke,488924.4434357439,402531.9840348521
Wagenbänkalm,488924.4434357439,402531.9840348521
Dürntaler,487671.8696182029,402513.0411935402
Rotbacher,486419.2917656276,402494.3670706963
Edenburgertörl,487671.8696182029,402513.0411935402
Kleeriedel,486419.2917656276,402494.3670706963
Edenburgeralpl,486419.2917656276,402494.3670706963
Dietmannsdorfer Graben,486419.2917656276,402494.3670706963
Hörhauser,486419.2917656276,402494.3670706963
Hallwegbach,482662.2859788189,402439.9676595824
Büschendorfer Bach,478905.245965457,402387.98577775713
Bärndorfer Bach,481410.44397175923,402422.37873485405
Eder,485167.4613356659,402475.9726276612
Sausteiger,485167.4613356659,402475.9726276612
Obersonnberg,485167.4613356659,402475.9726276612
Wirtshaus Aicher,485167.4613356659,402475.9726276612
Freßner,485167.4613356659,402475.9726276612
Äußerer Sonnberg,483914.87558830297,402457.8357831184
Moar zum Bichl,485167.4613356659,402475.9726276612
Pöllinger,483914.87558830297,402457.8357831184
Salber,483914.87558830297,402457.8357831184
Trummer,482662.2859788189,402439.9676595824
Mühlberger,482662.2859788189,402439.9676595824
Haltestelle Bärndorf-Büschendorf,482662.2859788189,402439.9676595824
Gstatthof,481410.44397175923,402422.37873485405
Unterhauer,482662.2859788189,402439.9676595824
Innerer Sonnberg,481410.44397175923,402422.37873485405
Pöllingergraben,481410.44397175923,402422.37873485405
Paltental,480157.84681321157,402405.0478945868
Sand,481410.44397175923,402422.37873485405
